"Journal" "Ais" "Ford" "Quantile"
"ANNALI DI BOTANICA" 0 "ERES" 0.97
"EARTH AND SPACE SCIENCE" 0 "ERES" 0.971
"ECOHYDROLOGY & HYDROBIOLOGY" 0 "ERES" 0.972
"ELEMENTA-SCIENCE OF THE ANTHROPOCENE" 0 "ERES" 0.973
"ENERGY SUSTAINABILITY AND SOCIETY" 0 "ERES" 0.975
"ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY" 0 "ERES" 0.976
"ENVIRONMENTAL DEVELOPMENT" 0 "ERES" 0.977
"ENVIRONMENTAL ENGINEERING RESEARCH" 0 "ERES" 0.979
"ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS" 0 "ERES" 0.98
"ENVIRONMENTAL SCIENCES EUROPE" 0 "ERES" 0.981
"HUMAN DIMENSIONS OF WILDLIFE" 0 "ERES" 0.982
"JOURNAL OF AGRICULTURAL METEOROLOGY" 0 "ERES" 0.984
"JOURNAL OF PALAEOGEOGRAPHY-ENGLISH" 0 "ERES" 0.985
"LOCAL ENVIRONMENT" 0 "ERES" 0.986
"NATURAL RESOURCES RESEARCH" 0 "ERES" 0.987
"PALAEOBIODIVERSITY AND PALAEOENVIRONMENTS" 0 "ERES" 0.989
"PALAEOWORLD" 0 "ERES" 0.99
"PALZ" 0 "ERES" 0.991
"PLANKTON & BENTHOS RESEARCH" 0 "ERES" 0.992
"PROGRESS IN EARTH AND PLANETARY SCIENCE" 0 "ERES" 0.994
"REVIEWS ON ENVIRONMENTAL HEALTH" 0 "ERES" 0.995
"SWISS JOURNAL OF PALAEONTOLOGY" 0 "ERES" 0.996
"WATER ALTERNATIVES-AN INTERDISCIPLINARY JOURNAL ON WATER POLITICS AND DEVELOPMENT" 0 "ERES" 0.997
"WEB ECOLOGY" 0 "ERES" 0.999
"WILEY INTERDISCIPLINARY REVIEWS-WATER" 0 "ERES" 1
"NATURE ENERGY" 16.115 "ENVIRON ENG" 0.004
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE" 7.137 "ENVIRON ENG" 0.007
"ENERGY & ENVIRONMENTAL SCIENCE" 7.071 "ENVIRON ENG" 0.011
"ADVANCED ENERGY MATERIALS" 4.876 "ENVIRON ENG" 0.014
"ACS ENERGY LETTERS" 3.867 "ENVIRON ENG" 0.018
"IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE" 2.009 "ENVIRON ENG" 0.021
"ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS" 1.977 "ENVIRON ENG" 0.025
"REMOTE SENSING OF ENVIRONMENT" 1.976 "ENVIRON ENG" 0.029
"IEEE TRANSACTIONS ON SUSTAINABLE ENERGY" 1.922 "ENVIRON ENG" 0.032
"JOURNAL OF MATERIALS CHEMISTRY A" 1.868 "ENVIRON ENG" 0.036
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS" 1.734 "ENVIRON ENG" 0.039
"CHEMSUSCHEM" 1.671 "ENVIRON ENG" 0.043
"APPLIED CATALYSIS B-ENVIRONMENTAL" 1.664 "ENVIRON ENG" 0.046
"ENVIRONMENTAL SCIENCE & TECHNOLOGY" 1.646 "ENVIRON ENG" 0.05
"CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY" 1.585 "ENVIRON ENG" 0.054
"BIOTECHNOLOGY FOR BIOFUELS" 1.583 "ENVIRON ENG" 0.057
"GREEN CHEMISTRY" 1.58 "ENVIRON ENG" 0.061
"GLOBAL CHANGE BIOLOGY BIOENERGY" 1.522 "ENVIRON ENG" 0.064
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING" 1.509 "ENVIRON ENG" 0.068
"WATER RESEARCH" 1.499 "ENVIRON ENG" 0.071
"PROCEEDINGS OF THE COMBUSTION INSTITUTE" 1.397 "ENVIRON ENG" 0.075
"IEEE TRANSACTIONS ON ENERGY CONVERSION" 1.351 "ENVIRON ENG" 0.079
"AGRONOMY FOR SUSTAINABLE DEVELOPMENT" 1.327 "ENVIRON ENG" 0.082
"PROGRESS IN PHOTOVOLTAICS" 1.32 "ENVIRON ENG" 0.086
"APPLIED ENERGY" 1.31 "ENVIRON ENG" 0.089
"GEOTECHNIQUE" 1.299 "ENVIRON ENG" 0.093
"INTERNATIONAL JOURNAL OF COAL GEOLOGY" 1.294 "ENVIRON ENG" 0.096
"JOURNAL OF GEODESY" 1.287 "ENVIRON ENG" 0.1
"INDOOR AIR" 1.252 "ENVIRON ENG" 0.104
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING" 1.23 "ENVIRON ENG" 0.107
"EARTHQUAKE SPECTRA" 1.228 "ENVIRON ENG" 0.111
"ENVIRONMENTAL MODELLING & SOFTWARE" 1.219 "ENVIRON ENG" 0.114
"COMBUSTION AND FLAME" 1.202 "ENVIRON ENG" 0.118
"JOURNAL OF POWER SOURCES" 1.2 "ENVIRON ENG" 0.121
"BIOFUELS BIOPRODUCTS & BIOREFINING-BIOFPR" 1.197 "ENVIRON ENG" 0.125
"JOURNAL OF HAZARDOUS MATERIALS" 1.182 "ENVIRON ENG" 0.129
"ACS SUSTAINABLE CHEMISTRY & ENGINEERING" 1.142 "ENVIRON ENG" 0.132
"EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS" 1.122 "ENVIRON ENG" 0.136
"GPS SOLUTIONS" 1.121 "ENVIRON ENG" 0.139
"AMBIO" 1.093 "ENVIRON ENG" 0.143
"INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION" 1.091 "ENVIRON ENG" 0.146
"CHEMICAL ENGINEERING JOURNAL" 1.084 "ENVIRON ENG" 0.15
"JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING" 1.079 "ENVIRON ENG" 0.154
"ENERGY JOURNAL" 1.038 "ENVIRON ENG" 0.157
"ROCK MECHANICS AND ROCK ENGINEERING" 1.035 "ENVIRON ENG" 0.161
"LANDSLIDES" 1.008 "ENVIRON ENG" 0.164
"ENERGY CONVERSION AND MANAGEMENT" 1.006 "ENVIRON ENG" 0.168
"ENERGY POLICY" 0.994 "ENVIRON ENG" 0.171
"INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES" 0.974 "ENVIRON ENG" 0.175
"BIORESOURCE TECHNOLOGY" 0.973 "ENVIRON ENG" 0.179
"FUEL" 0.967 "ENVIRON ENG" 0.182
"JOURNAL OF INDUSTRIAL ECOLOGY" 0.966 "ENVIRON ENG" 0.186
"SUSTAINABILITY SCIENCE" 0.961 "ENVIRON ENG" 0.189
"JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY" 0.959 "ENVIRON ENG" 0.193
"ENGINEERING GEOLOGY" 0.954 "ENVIRON ENG" 0.196
"ENERGY" 0.951 "ENVIRON ENG" 0.2
"COMPUTERS AND GEOTECHNICS" 0.944 "ENVIRON ENG" 0.204
"CANADIAN GEOTECHNICAL JOURNAL" 0.935 "ENVIRON ENG" 0.207
"IEEE JOURNAL OF PHOTOVOLTAICS" 0.933 "ENVIRON ENG" 0.211
"SOLAR ENERGY MATERIALS AND SOLAR CELLS" 0.927 "ENVIRON ENG" 0.214
"SPATIAL STATISTICS" 0.927 "ENVIRON ENG" 0.218
"RENEWABLE ENERGY" 0.925 "ENVIRON ENG" 0.221
"ACTA GEOTECHNICA" 0.908 "ENVIRON ENG" 0.225
"BUILDING AND ENVIRONMENT" 0.902 "ENVIRON ENG" 0.229
"COASTAL ENGINEERING" 0.899 "ENVIRON ENG" 0.232
"INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS" 0.894 "ENVIRON ENG" 0.236
"BIOMASS & BIOENERGY" 0.888 "ENVIRON ENG" 0.239
"SPE JOURNAL" 0.887 "ENVIRON ENG" 0.243
"ORE GEOLOGY REVIEWS" 0.885 "ENVIRON ENG" 0.246
"REMOTE SENSING" 0.872 "ENVIRON ENG" 0.25
"FUEL PROCESSING TECHNOLOGY" 0.865 "ENVIRON ENG" 0.254
"BULLETIN OF EARTHQUAKE ENGINEERING" 0.86 "ENVIRON ENG" 0.257
"ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY" 0.854 "ENVIRON ENG" 0.261
"INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL" 0.854 "ENVIRON ENG" 0.264
"WASTE MANAGEMENT" 0.852 "ENVIRON ENG" 0.268
"GEOTECHNIQUE LETTERS" 0.847 "ENVIRON ENG" 0.271
"BIOENERGY RESEARCH" 0.839 "ENVIRON ENG" 0.275
"IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING" 0.838 "ENVIRON ENG" 0.279
"JOURNAL OF CLEANER PRODUCTION" 0.815 "ENVIRON ENG" 0.282
"RESOURCES CONSERVATION AND RECYCLING" 0.807 "ENVIRON ENG" 0.286
"SOLAR ENERGY" 0.799 "ENVIRON ENG" 0.289
"IET RENEWABLE POWER GENERATION" 0.794 "ENVIRON ENG" 0.293
"IEEE GEOSCIENCE AND REMOTE SENSING LETTERS" 0.786 "ENVIRON ENG" 0.296
"GEOTHERMICS" 0.774 "ENVIRON ENG" 0.3
"INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT" 0.773 "ENVIRON ENG" 0.304
"INTERNATIONAL JOURNAL OF DIGITAL EARTH" 0.767 "ENVIRON ENG" 0.307
"GEOTEXTILES AND GEOMEMBRANES" 0.75 "ENVIRON ENG" 0.311
"WIND ENERGY" 0.747 "ENVIRON ENG" 0.314
"ENERGY & FUELS" 0.744 "ENVIRON ENG" 0.318
"SPE RESERVOIR EVALUATION & ENGINEERING" 0.734 "ENVIRON ENG" 0.321
"COMBUSTION THEORY AND MODELLING" 0.729 "ENVIRON ENG" 0.325
"GEOSYNTHETICS INTERNATIONAL" 0.719 "ENVIRON ENG" 0.329
"SOILS AND FOUNDATIONS" 0.716 "ENVIRON ENG" 0.332
"INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING-GREEN TECHNOLOGY" 0.715 "ENVIRON ENG" 0.336
"ENERGY FOR SUSTAINABLE DEVELOPMENT" 0.691 "ENVIRON ENG" 0.339
"JOM" 0.684 "ENVIRON ENG" 0.343
"ENERGY AND BUILDINGS" 0.683 "ENVIRON ENG" 0.346
"APPLIED THERMAL ENGINEERING" 0.675 "ENVIRON ENG" 0.35
"JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING" 0.667 "ENVIRON ENG" 0.354
"JOURNAL OF APPLIED GEOPHYSICS" 0.659 "ENVIRON ENG" 0.357
"IEEE JOURNAL OF OCEANIC ENGINEERING" 0.658 "ENVIRON ENG" 0.361
"ENERGY TECHNOLOGY" 0.656 "ENVIRON ENG" 0.364
"ENERGY STRATEGY REVIEWS" 0.648 "ENVIRON ENG" 0.368
"ENERGY SCIENCE & ENGINEERING" 0.647 "ENVIRON ENG" 0.371
"ECOLOGICAL ENGINEERING" 0.646 "ENVIRON ENG" 0.375
"SOIL DYNAMICS AND EARTHQUAKE ENGINEERING" 0.645 "ENVIRON ENG" 0.379
"MARINE STRUCTURES" 0.642 "ENVIRON ENG" 0.382
"WILEY INTERDISCIPLINARY REVIEWS-ENERGY AND ENVIRONMENT" 0.64 "ENVIRON ENG" 0.386
"ENVIRONMENTAL CHEMISTRY LETTERS" 0.629 "ENVIRON ENG" 0.389
"JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION" 0.629 "ENVIRON ENG" 0.393
"INTERNATIONAL JOURNAL OF MINERAL PROCESSING" 0.62 "ENVIRON ENG" 0.396
"JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING" 0.616 "ENVIRON ENG" 0.4
"PROCESS SAFETY AND ENVIRONMENTAL PROTECTION" 0.609 "ENVIRON ENG" 0.404
"STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT" 0.608 "ENVIRON ENG" 0.407
"APPLIED OCEAN RESEARCH" 0.606 "ENVIRON ENG" 0.411
"JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING" 0.603 "ENVIRON ENG" 0.414
"CHEMICAL ENGINEERING AND PROCESSING" 0.602 "ENVIRON ENG" 0.418
"INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY" 0.6 "ENVIRON ENG" 0.421
"JOURNAL OF ENERGY CHEMISTRY" 0.6 "ENVIRON ENG" 0.425
"INTERNATIONAL JOURNAL OF GEOMECHANICS" 0.596 "ENVIRON ENG" 0.429
"JOURNAL OF THE ENERGY INSTITUTE" 0.595 "ENVIRON ENG" 0.432
"CANADIAN JOURNAL OF REMOTE SENSING" 0.591 "ENVIRON ENG" 0.436
"MINERALS ENGINEERING" 0.588 "ENVIRON ENG" 0.439
"INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION" 0.578 "ENVIRON ENG" 0.443
"INTERNATIONAL JOURNAL OF HYDROGEN ENERGY" 0.57 "ENVIRON ENG" 0.446
"PETROLEUM EXPLORATION AND DEVELOPMENT" 0.567 "ENVIRON ENG" 0.45
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH" 0.564 "ENVIRON ENG" 0.454
"PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING" 0.557 "ENVIRON ENG" 0.457
"OCEAN ENGINEERING" 0.554 "ENVIRON ENG" 0.461
"JOURNAL OF EARTHQUAKE ENGINEERING" 0.551 "ENVIRON ENG" 0.464
"RADIO SCIENCE" 0.55 "ENVIRON ENG" 0.468
"MINERALS" 0.538 "ENVIRON ENG" 0.471
"JOURNAL OF SUSTAINABLE TOURISM" 0.532 "ENVIRON ENG" 0.475
"INTERNATIONAL JOURNAL OF PHYSICAL MODELLING IN GEOTECHNICS" 0.527 "ENVIRON ENG" 0.479
"SUSTAINABLE CITIES AND SOCIETY" 0.523 "ENVIRON ENG" 0.482
"JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY" 0.52 "ENVIRON ENG" 0.486
"BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT" 0.516 "ENVIRON ENG" 0.489
"SUSTAINABLE DEVELOPMENT" 0.51 "ENVIRON ENG" 0.493
"INTERNATIONAL JOURNAL OF REMOTE SENSING" 0.503 "ENVIRON ENG" 0.496
"JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION" 0.501 "ENVIRON ENG" 0.5
"COLD REGIONS SCIENCE AND TECHNOLOGY" 0.497 "ENVIRON ENG" 0.504
"GREENHOUSE GASES-SCIENCE AND TECHNOLOGY" 0.496 "ENVIRON ENG" 0.507
"INTERNATIONAL JOURNAL OF ENERGY RESEARCH" 0.493 "ENVIRON ENG" 0.511
"GEOTECHNICAL TESTING JOURNAL" 0.492 "ENVIRON ENG" 0.514
"GISCIENCE & REMOTE SENSING" 0.491 "ENVIRON ENG" 0.518
"NAVIGATION-JOURNAL OF THE INSTITUTE OF NAVIGATION" 0.484 "ENVIRON ENG" 0.521
"REMOTE SENSING LETTERS" 0.473 "ENVIRON ENG" 0.525
"ENERGIES" 0.468 "ENVIRON ENG" 0.529
"COMBUSTION SCIENCE AND TECHNOLOGY" 0.457 "ENVIRON ENG" 0.532
"MARINE GEODESY" 0.456 "ENVIRON ENG" 0.536
"MINERAL PROCESSING AND EXTRACTIVE METALLURGY REVIEW" 0.456 "ENVIRON ENG" 0.539
"UTILITIES POLICY" 0.435 "ENVIRON ENG" 0.543
"JOURNAL OF NAVIGATION" 0.422 "ENVIRON ENG" 0.546
"PHOTOGRAMMETRIC RECORD" 0.417 "ENVIRON ENG" 0.55
"JOURNAL OF POLYMERS AND THE ENVIRONMENT" 0.413 "ENVIRON ENG" 0.554
"SPE PRODUCTION & OPERATIONS" 0.407 "ENVIRON ENG" 0.557
"PETROLEUM SCIENCE" 0.405 "ENVIRON ENG" 0.561
"ENVIRONMENTAL GEOTECHNICS" 0.403 "ENVIRON ENG" 0.564
"COASTAL ENGINEERING JOURNAL" 0.391 "ENVIRON ENG" 0.568
"FUEL CELLS" 0.385 "ENVIRON ENG" 0.571
"OIL & GAS SCIENCE AND TECHNOLOGY-REVUE D IFP ENERGIES NOUVELLES" 0.38 "ENVIRON ENG" 0.575
"ENERGY EFFICIENCY" 0.379 "ENVIRON ENG" 0.579
"ENERGY EFFICIENCY" 0.379 "ENVIRON ENG" 0.582
"INTERNATIONAL JOURNAL OF PHOTOENERGY" 0.377 "ENVIRON ENG" 0.586
"ENVIRONMENTAL ENGINEERING SCIENCE" 0.365 "ENVIRON ENG" 0.589
"JOURNAL OF SHIP RESEARCH" 0.36 "ENVIRON ENG" 0.593
"JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME" 0.353 "ENVIRON ENG" 0.596
"PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING" 0.352 "ENVIRON ENG" 0.6
"CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY" 0.35 "ENVIRON ENG" 0.604
"FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING" 0.35 "ENVIRON ENG" 0.607
"JOURNAL OF MARINE SCIENCE AND TECHNOLOGY" 0.347 "ENVIRON ENG" 0.611
"PETROPHYSICS" 0.345 "ENVIRON ENG" 0.614
"GEOCARTO INTERNATIONAL" 0.343 "ENVIRON ENG" 0.618
"AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS" 0.342 "ENVIRON ENG" 0.621
"JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS" 0.34 "ENVIRON ENG" 0.625
"ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION" 0.336 "ENVIRON ENG" 0.629
"INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY" 0.334 "ENVIRON ENG" 0.632
"JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE AND ENGINEERING" 0.334 "ENVIRON ENG" 0.636
"EARTHQUAKE ENGINEERING AND ENGINEERING VIBRATION" 0.333 "ENVIRON ENG" 0.639
"GREEN MATERIALS" 0.327 "ENVIRON ENG" 0.643
"JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME" 0.324 "ENVIRON ENG" 0.646
"SUSTAINABILITY" 0.323 "ENVIRON ENG" 0.65
"SUSTAINABILITY" 0.323 "ENVIRON ENG" 0.654
"INTERNATIONAL JOURNAL OF COAL PREPARATION AND UTILIZATION" 0.322 "ENVIRON ENG" 0.657
"JOURNAL OF SPATIAL SCIENCE" 0.316 "ENVIRON ENG" 0.661
"JOURNAL OF ENERGY RESOURCES TECHNOLOGY-TRANSACTIONS OF THE ASME" 0.313 "ENVIRON ENG" 0.664
"WASTE MANAGEMENT & RESEARCH" 0.312 "ENVIRON ENG" 0.668
"JOURNAL OF ENVIRONMENTAL ENGINEERING" 0.308 "ENVIRON ENG" 0.671
"PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART M-JOURNAL OF ENGINEERING FOR THE MARITIME ENVIRONMENT" 0.308 "ENVIRON ENG" 0.675
"EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING" 0.306 "ENVIRON ENG" 0.679
"MINERALS & METALLURGICAL PROCESSING" 0.306 "ENVIRON ENG" 0.682
"JOURNAL OF TERRAMECHANICS" 0.302 "ENVIRON ENG" 0.686
"SHIPS AND OFFSHORE STRUCTURES" 0.3 "ENVIRON ENG" 0.689
"JOURNAL OF COLD REGIONS ENGINEERING" 0.299 "ENVIRON ENG" 0.693
"PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-ENGINEERING SUSTAINABILITY" 0.296 "ENVIRON ENG" 0.696
"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING" 0.294 "ENVIRON ENG" 0.7
"EUROPEAN JOURNAL OF REMOTE SENSING" 0.291 "ENVIRON ENG" 0.704
"SPE DRILLING & COMPLETION" 0.291 "ENVIRON ENG" 0.707
"CLEAN-SOIL AIR WATER" 0.288 "ENVIRON ENG" 0.711
"JOURNAL OF ENERGY ENGINEERING" 0.287 "ENVIRON ENG" 0.714
"ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY" 0.286 "ENVIRON ENG" 0.718
"JOURNAL OF APPLIED REMOTE SENSING" 0.28 "ENVIRON ENG" 0.721
"PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-ENERGY" 0.276 "ENVIRON ENG" 0.725
"INDOOR AND BUILT ENVIRONMENT" 0.275 "ENVIRON ENG" 0.729
"EARTHQUAKES AND STRUCTURES" 0.27 "ENVIRON ENG" 0.732
"JOURNAL OF ELECTROCHEMICAL ENERGY CONVERSION AND STORAGE" 0.267 "ENVIRON ENG" 0.736
"INTERNATIONAL JOURNAL OF MINERALS METALLURGY AND MATERIALS" 0.266 "ENVIRON ENG" 0.739
"INTERNATIONAL JOURNAL OF MINING RECLAMATION AND ENVIRONMENT" 0.266 "ENVIRON ENG" 0.743
"GREEN CHEMISTRY LETTERS AND REVIEWS" 0.265 "ENVIRON ENG" 0.746
"JOURNAL OF RENEWABLE AND SUSTAINABLE ENERGY" 0.264 "ENVIRON ENG" 0.75
"PHYSICOCHEMICAL PROBLEMS OF MINERAL PROCESSING" 0.257 "ENVIRON ENG" 0.754
"OZONE-SCIENCE & ENGINEERING" 0.255 "ENVIRON ENG" 0.757
"ENERGY EXPLORATION & EXPLOITATION" 0.253 "ENVIRON ENG" 0.761
"WATER SCIENCE AND TECHNOLOGY" 0.246 "ENVIRON ENG" 0.764
"ENVIRONMENTAL & ENGINEERING GEOSCIENCE" 0.238 "ENVIRON ENG" 0.768
"GEOMECHANICS AND ENGINEERING" 0.238 "ENVIRON ENG" 0.771
"QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY" 0.238 "ENVIRON ENG" 0.775
"MARINE GEORESOURCES & GEOTECHNOLOGY" 0.23 "ENVIRON ENG" 0.779
"GREEN PROCESSING AND SYNTHESIS" 0.225 "ENVIRON ENG" 0.782
"MARINE TECHNOLOGY SOCIETY JOURNAL" 0.217 "ENVIRON ENG" 0.786
"SURVEY REVIEW" 0.217 "ENVIRON ENG" 0.789
"INTERNATIONAL JOURNAL OF NAVAL ARCHITECTURE AND OCEAN ENGINEERING" 0.211 "ENVIRON ENG" 0.793
"INTERNATIONAL JOURNAL OF GREEN ENERGY" 0.207 "ENVIRON ENG" 0.796
"INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING" 0.2 "ENVIRON ENG" 0.8
"COMBUSTION EXPLOSION AND SHOCK WAVES" 0.196 "ENVIRON ENG" 0.804
"OIL SHALE" 0.193 "ENVIRON ENG" 0.807
"PHOTOGRAMMETRIE FERNERKUNDUNG GEOINFORMATION" 0.193 "ENVIRON ENG" 0.811
"JOURNAL OF RENEWABLE MATERIALS" 0.188 "ENVIRON ENG" 0.814
"INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION" 0.187 "ENVIRON ENG" 0.818
"JOURNAL OF FUEL CELL SCIENCE AND TECHNOLOGY" 0.182 "ENVIRON ENG" 0.821
"JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING" 0.178 "ENVIRON ENG" 0.825
"PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING" 0.178 "ENVIRON ENG" 0.829
"INTERNATIONAL JOURNAL OF VENTILATION" 0.177 "ENVIRON ENG" 0.832
"ENERGY SOURCES PART B-ECONOMICS PLANNING AND POLICY" 0.176 "ENVIRON ENG" 0.836
"ACTA GEODYNAMICA ET GEOMATERIALIA" 0.172 "ENVIRON ENG" 0.839
"INTERNATIONAL JOURNAL OF EXERGY" 0.159 "ENVIRON ENG" 0.843
"CHINA OCEAN ENGINEERING" 0.157 "ENVIRON ENG" 0.846
"WATER ENVIRONMENT RESEARCH" 0.155 "ENVIRON ENG" 0.85
"INTERNATIONAL JOURNAL OF OIL GAS AND COAL TECHNOLOGY" 0.15 "ENVIRON ENG" 0.854
"JOURNAL OF THE JAPAN PETROLEUM INSTITUTE" 0.148 "ENVIRON ENG" 0.857
"JOURNAL OF BIOBASED MATERIALS AND BIOENERGY" 0.147 "ENVIRON ENG" 0.861
"JOURNAL OF SHIP PRODUCTION AND DESIGN" 0.142 "ENVIRON ENG" 0.864
"INTERNATIONAL JOURNAL OF MARITIME ENGINEERING" 0.136 "ENVIRON ENG" 0.868
"ACTA GEOTECHNICA SLOVENICA" 0.135 "ENVIRON ENG" 0.871
"PETROLEUM CHEMISTRY" 0.133 "ENVIRON ENG" 0.875
"WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY" 0.133 "ENVIRON ENG" 0.879
"ARCHIVES OF MINING SCIENCES" 0.132 "ENVIRON ENG" 0.882
"JOURNAL OF ENERGY IN SOUTHERN AFRICA" 0.122 "ENVIRON ENG" 0.886
"ENVIRONMENT PROTECTION ENGINEERING" 0.116 "ENVIRON ENG" 0.889
"PETROLEUM SCIENCE AND TECHNOLOGY" 0.116 "ENVIRON ENG" 0.893
"JOURNAL OF WATER REUSE AND DESALINATION" 0.113 "ENVIRON ENG" 0.896
"JOURNAL OF MARINE ENGINEERING AND TECHNOLOGY" 0.111 "ENVIRON ENG" 0.9
"ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS" 0.103 "ENVIRON ENG" 0.904
"GOSPODARKA SUROWCAMI MINERALNYMI-MINERAL RESOURCES MANAGEMENT" 0.098 "ENVIRON ENG" 0.907
"JOURNAL OF THE SOUTHERN AFRICAN INSTITUTE OF MINING AND METALLURGY" 0.095 "ENVIRON ENG" 0.911
"BRODOGRADNJA" 0.085 "ENVIRON ENG" 0.914
"JOURNAL OF MINING SCIENCE" 0.082 "ENVIRON ENG" 0.918
"POLISH MARITIME RESEARCH" 0.08 "ENVIRON ENG" 0.921
"CT&F-CIENCIA TECNOLOGIA Y FUTURO" 0.068 "ENVIRON ENG" 0.925
"ACTA MONTANISTICA SLOVACA" 0.062 "ENVIRON ENG" 0.929
"CHINA PETROLEUM PROCESSING & PETROCHEMICAL TECHNOLOGY" 0.058 "ENVIRON ENG" 0.932
"NAVAL ENGINEERS JOURNAL" 0.055 "ENVIRON ENG" 0.936
"CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS" 0.051 "ENVIRON ENG" 0.939
"OCHRONA SRODOWISKA" 0.05 "ENVIRON ENG" 0.943
"OIL GAS-EUROPEAN MAGAZINE" 0.043 "ENVIRON ENG" 0.946
"SOLID FUEL CHEMISTRY" 0.043 "ENVIRON ENG" 0.95
"GEFAHRSTOFFE REINHALTUNG DER LUFT" 0.037 "ENVIRON ENG" 0.954
"SOIL MECHANICS AND FOUNDATION ENGINEERING" 0.033 "ENVIRON ENG" 0.957
"OIL & GAS JOURNAL" 0.028 "ENVIRON ENG" 0.961
"SEA TECHNOLOGY" 0.02 "ENVIRON ENG" 0.964
"BIOFUELS-UK" 0 "ENVIRON ENG" 0.968
"BIOMASS CONVERSION AND BIOREFINERY" 0 "ENVIRON ENG" 0.971
"ENERGY SUSTAINABILITY AND SOCIETY" 0 "ENVIRON ENG" 0.975
"ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY" 0 "ENVIRON ENG" 0.979
"ENVIRONMENTAL ENGINEERING RESEARCH" 0 "ENVIRON ENG" 0.982
"FRONTIERS IN ENERGY" 0 "ENVIRON ENG" 0.986
"INGEGNERIA SISMICA" 0 "ENVIRON ENG" 0.989
